day,topic,subtopics,project,difficulty,phase,estimated_hours,week
1,HTML Fundamentals,"['HTML structure', 'Basic tags', 'Document setup']",Create your first HTML page,Beginner,Phase 1: Web Fundamentals,2,1
2,HTML Elements & Attributes,"['Semantic HTML', 'Attributes', 'Forms basics']",Personal info form,Beginner,Phase 1: Web Fundamentals,2,1
3,HTML Lists & Tables,"['Ordered/unordered lists', 'Tables', 'Navigation menus']",Resume with tables and lists,Beginner,Phase 1: Web Fundamentals,2,1
4,HTML Forms & Input,"['Form elements', 'Input types', 'Validation']",Contact form,Beginner,Phase 1: Web Fundamentals,2,1
5,HTML Media & Links,"['Images', 'Videos', 'Links', 'File paths']",Media gallery page,Beginner,Phase 1: Web Fundamentals,2,1
6,CSS Fundamentals,"['Selectors', 'Properties', 'Colors', 'Units']",Style your HTML pages,Beginner,Phase 1: Web Fundamentals,2,1
7,CSS Box Model,"['Margin', 'Padding', 'Border', 'Box-sizing']",Card layouts,Beginner,Phase 1: Web Fundamentals,2,1
8,CSS Layout - Float & Position,"['Float', 'Position', 'Clear', 'Z-index']",Multi-column layout,Beginner,Phase 1: Web Fundamentals,2,2
9,CSS Flexbox,"['Flex container', 'Flex items', 'Alignment', 'Direction']",Navigation bar with flexbox,Beginner,Phase 1: Web Fundamentals,2,2
10,CSS Grid,"['Grid container', 'Grid items', 'Areas', 'Responsive grids']",Photo gallery with CSS Grid,Beginner,Phase 1: Web Fundamentals,2,2
11,Responsive Design,"['Media queries', 'Viewport', 'Mobile-first']",Responsive portfolio site,Beginner,Phase 1: Web Fundamentals,2,2
12,CSS Animations,"['Transitions', 'Keyframes', 'Transform']",Animated buttons and cards,Beginner,Phase 1: Web Fundamentals,2,2
13,CSS Preprocessors,"['SASS/SCSS basics', 'Variables', 'Nesting']",Refactor CSS with SASS,Intermediate,Phase 1: Web Fundamentals,3,2
14,CSS Frameworks,"['Bootstrap introduction', 'Tailwind CSS', 'Component libraries']",Bootstrap landing page,Beginner,Phase 1: Web Fundamentals,2,2
15,Advanced CSS Concepts,"['CSS custom properties', 'CSS modules', 'BEM methodology']",Modular CSS system,Intermediate,Phase 1: Web Fundamentals,3,3
16,JavaScript Fundamentals,"['Variables', 'Data types', 'Operators']",Simple calculator,Beginner,Phase 1: Web Fundamentals,2,3
17,Control Structures,"['If/else', 'Loops', 'Switch statements']",Number guessing game,Beginner,Phase 1: Web Fundamentals,2,3
